id,date,user,department,software,seats,amount
1,2022-10-23 18:50:10 +0530,Wil Wheaton,Marketting,Apple,3,60.0
2,2022-11-17 16:37:10 +0530,Leslie Winkle,Tech,Outplay,1,12.0
3,2022-05-14 09:00:57 +0530,Amy Farrah Fowler,Tech,Outplay,3,36.0
4,2023-02-03 14:37:45 +0530,Bert Kibbler,Customer Success,Sentry,1,5.0
5,2022-10-18 09:11:51 +0530,Dr. Beverly Hofstadter,Sales,Discord,2,2.0
6,2022-11-29 08:38:37 +0530,Amy Farrah Fowler,Tech,Outplay,2,24.0
7,2022-08-27 06:37:02 +0530,Priya Koothrappali,Sales,Teams,4,20.0
8,2022-06-04 20:14:20 +0530,Wil Wheaton,Marketting,Google,5,10.0
9,2023-04-29 22:33:56 +0530,Sheldon Cooper,Tech,Discord,3,3.0
10,2022-06-19 12:21:18 +0530,Leslie Winkle,Tech,Google,2,4.0
11,2022-06-02 00:18:59 +0530,Emily Sweeney,HR,Github,5,20.0
12,2022-06-06 17:26:46 +0530,Wil Wheaton,Marketting,Fullstory,3,33.0
13,2022-08-15 07:58:28 +0530,Rostenkowski,Tech,Height,2,6.0
14,2023-04-20 18:43:21 +0530,Dr. V.M. Koothrappali,Marketting,Slack,2,20.0
15,2022-06-11 04:44:12 +0530,Bert Kibbler,Customer Success,Zapier,5,20.0
16,2022-09-12 07:52:40 +0530,Dr. Beverly Hofstadter,Sales,Sentry,2,10.0
17,2022-12-05 18:58:24 +0530,Barry Kripke,Customer Success,Sentry,4,20.0
18,2023-04-05 02:35:02 +0530,Dr. Beverly Hofstadter,Sales,Apple,4,80.0
19,2022-06-03 23:28:27 +0530,Leslie Winkle,Tech,Outplay,4,48.0
20,2023-01-27 00:35:56 +0530,Emily Sweeney,HR,Outplay,3,36.0
21,2022-06-23 03:27:17 +0530,Bert Kibbler,Customer Success,Discord,5,5.0
22,2023-03-16 12:32:53 +0530,Leonard Hofstadter,Tech,Height,3,9.0
23,2022-08-05 02:03:24 +0530,Leslie Winkle,Tech,Slack,1,10.0
24,2022-06-18 07:42:55 +0530,Dr. Beverly Hofstadter,Sales,Figma,3,42.0
25,2023-03-12 21:12:39 +0530,Sheldon Cooper,Tech,Slack,2,20.0
26,2022-10-03 23:40:46 +0530,Priya Koothrappali,Sales,Fullstory,3,33.0
27,2023-02-05 09:15:22 +0530,Leonard Hofstadter,Tech,Sentry,5,25.0
28,2023-02-11 17:09:19 +0530,Rostenkowski,Tech,Figma,3,42.0
29,2022-11-10 06:05:04 +0530,Bert Kibbler,Customer Success,Appolo,4,68.0
30,2022-09-20 21:18:21 +0530,Leslie Winkle,Tech,Teams,3,15.0
31,2022-08-23 14:16:45 +0530,Amy Farrah Fowler,Tech,Teams,1,5.0
32,2022-08-10 23:50:01 +0530,Denise,HR,Teams,2,10.0
33,2023-04-22 06:18:18 +0530,Amy Farrah Fowler,Tech,Outplay,4,48.0
34,2023-02-15 09:21:05 +0530,Bert Kibbler,Customer Success,Slack,2,20.0
35,2022-06-24 10:38:26 +0530,Leonard Hofstadter,Tech,Sentry,3,15.0
36,2023-02-11 00:22:09 +0530,Dr. Beverly Hofstadter,Sales,Height,5,15.0
37,2022-05-18 06:49:43 +0530,Dr. Beverly Hofstadter,Sales,Teams,2,10.0
38,2022-05-22 02:17:53 +0530,Wil Wheaton,Marketting,Apple,1,20.0
39,2022-06-30 19:36:10 +0530,Rostenkowski,Tech,Fullstory,5,55.0
40,2022-06-18 15:47:13 +0530,Priya Koothrappali,Sales,Zapier,3,12.0
41,2022-10-31 17:06:32 +0530,Denise,HR,Figma,4,56.0
42,2023-01-25 21:47:16 +0530,Dr. V.M. Koothrappali,Marketting,Fullstory,4,44.0
43,2022-09-17 00:15:29 +0530,Denise,HR,Github,1,4.0
44,2023-04-22 14:03:29 +0530,Leslie Winkle,Tech,Discord,5,5.0
45,2022-05-24 15:49:03 +0530,Rostenkowski,Tech,Apple,5,100.0
46,2022-09-04 06:12:08 +0530,Barry Kripke,Customer Success,Teams,1,5.0
47,2022-09-30 09:35:21 +0530,Leslie Winkle,Tech,Slack,3,30.0
48,2022-10-02 06:59:07 +0530,Leonard Hofstadter,Tech,Height,5,15.0
49,2023-01-10 19:33:11 +0530,Dr. V.M. Koothrappali,Marketting,Zapier,3,12.0
50,2022-12-09 21:13:04 +0530,Emily Sweeney,HR,Slack,4,40.0
51,2023-01-25 06:19:20 +0530,Bert Kibbler,Customer Success,Zapier,1,4.0
52,2022-09-28 02:25:59 +0530,Bert Kibbler,Customer Success,Sentry,3,15.0
53,2023-05-07 05:04:51 +0530,Wil Wheaton,Marketting,Apple,5,100.0
54,2023-02-16 21:24:33 +0530,Emily Sweeney,HR,Google,2,4.0
55,2023-01-11 03:09:03 +0530,Priya Koothrappali,Sales,Height,2,6.0
56,2023-04-04 17:06:45 +0530,Leonard Hofstadter,Tech,Google,4,8.0
57,2023-05-09 14:36:37 +0530,Leonard Hofstadter,Tech,Sentry,4,20.0
58,2022-11-10 16:32:29 +0530,Amy Farrah Fowler,Tech,Figma,5,70.0
59,2023-02-27 09:31:26 +0530,Leslie Winkle,Tech,Zapier,5,20.0
60,2022-09-19 05:13:25 +0530,Amy Farrah Fowler,Tech,Zoho Crm,4,72.0
61,2022-06-12 05:26:32 +0530,Rostenkowski,Tech,Circleci,1,9.0
62,2022-11-10 16:53:09 +0530,Dr. Beverly Hofstadter,Sales,Sentry,1,5.0
63,2022-05-31 04:59:08 +0530,Rostenkowski,Tech,Notion,1,7.0
64,2022-08-26 10:59:18 +0530,Dr. V.M. Koothrappali,Marketting,Outplay,5,60.0
65,2023-01-05 21:38:59 +0530,Amy Farrah Fowler,Tech,Circleci,3,27.0
66,2023-02-26 22:22:55 +0530,Amy Farrah Fowler,Tech,Height,2,6.0
67,2022-09-11 09:02:17 +0530,Rostenkowski,Tech,Circleci,1,9.0
